concept_rank,concept_name,prompt_id,prompt
1,Star-swept night skies and cypress silhouettes,16,"An orchard fence leading toward distant houses while stars ripple overhead, textured pigment, rough surface"
1,Star-swept night skies and cypress silhouettes,17,"A dark cypress mirrored in a still pond under luminous clouds, expressive strokes, loaded paint"
1,Star-swept night skies and cypress silhouettes,18,"A ridge path climbing toward a small monastery with turning stars above, chalky brush marks, hand-painted texture"
1,Star-swept night skies and cypress silhouettes,19,"A sleeping village ringed by hills and punctuated by one sharp cypress form, thick brushwork, dense pigment"
1,Star-swept night skies and cypress silhouettes,20,"A field of low grasses and wildflowers beneath a heavy moon and streaming sky bands, palette-knife accents, visible strokes"
1,Star-swept night skies and cypress silhouettes,21,"A stone wall and gate opening onto a night road with cypress beyond, ridged paint, lively pigment"
1,Star-swept night skies and cypress silhouettes,22,"A white church nave and bell tower glowing faintly under a turbulent sky, textured oil paint, canvas grain"
1,Star-swept night skies and cypress silhouettes,23,"A distant harbor of tiny lights under rolling blue heavens and a cypress on the bluff, broken color, rough linen texture"
1,Star-swept night skies and cypress silhouettes,24,"Low vineyards under moonlight with tall cypress sentinels along the rows, swirling brushwork, dense pigment"
1,Star-swept night skies and cypress silhouettes,25,"A farmhouse courtyard with a water pump and dark trees beneath turning stars, matte gouache touch, brushed surface"
1,Star-swept night skies and cypress silhouettes,26,"A village seen from an upper field where cypress branches cut into the sky, thick impasto, visible ridges"
1,Star-swept night skies and cypress silhouettes,27,"An uphill lane lined with stone walls and night-blooming shrubs under swirling cloud ribbons, hand-painted texture, lively strokes"
1,Star-swept night skies and cypress silhouettes,28,"A small pond beside cypress roots catching pale moon reflections, textured oil paint, loaded color"
1,Star-swept night skies and cypress silhouettes,29,"A windmill silhouette on a hill with stars turning around it, expressive brushwork, ridged paint"
1,Star-swept night skies and cypress silhouettes,30,"A cluster of blue rooftops below a moonlit horizon with cypress forms rising like dark flames, broken color, canvas grain"
2,Sunflower still lifes and yellow garden blooms,1,"A crock of sunflower heads on a plain wooden table, petals flaring in ochre bursts, thick impasto, canvas texture"
2,Sunflower still lifes and yellow garden blooms,2,"Four cut sunflower blooms in a green jug with drooping leaves and rough shadows, textured oil paint, visible strokes"
2,Sunflower still lifes and yellow garden blooms,3,"A crowded bouquet of yellow blooms in an earthenware vase against a pale wall, layered brushstrokes, dense pigment"
2,Sunflower still lifes and yellow garden blooms,4,"Wilting flower heads scattered across a blue tablecloth with seeds spilling loose, ridged paint, hand-painted surface"
2,Sunflower still lifes and yellow garden blooms,5,"A single towering yellow bloom in a narrow bottle beside a cracked window ledge, broken color, rough linen texture"
2,Sunflower still lifes and yellow garden blooms,6,"A basket of freshly cut sunflower stems on a farmhouse chair, palette-knife accents, loaded paint"
2,Sunflower still lifes and yellow garden blooms,7,"Two clay pots of yellow blooms set side by side on a warm ochre tabletop, chalky color patches, lively strokes"
2,Sunflower still lifes and yellow garden blooms,8,"Sunflower heads mixed with dry grasses in a squat ceramic jar, matte gouache touch, rough paper texture"
2,Sunflower still lifes and yellow garden blooms,9,"A low view across a studio table to a vase of heavy seed heads and curling petals, thick brushwork, tactile surface"
2,Sunflower still lifes and yellow garden blooms,10,"Small yellow blooms crowded in a chipped enamel pitcher with fallen petals below, textured pigment, visible strokes"
2,Sunflower still lifes and yellow garden blooms,11,"A bouquet of yellow flowers pushing outward against a turquoise ground, expressive brushwork, ridged paint"
2,Sunflower still lifes and yellow garden blooms,12,"A glass jar of short-stemmed seed-headed blooms catching afternoon brightness, broken color, brushed pigment"
2,Sunflower still lifes and yellow garden blooms,13,"A market crate filled with cut flower heads and tangled leaves, thick impasto, painted canvas grain"
2,Sunflower still lifes and yellow garden blooms,14,"Tall stems of yellow blooms arranged in a mustard ceramic vessel, layered paint, hand-worked texture"
2,Sunflower still lifes and yellow garden blooms,15,"A pale room corner with a stool supporting a jar of yellow blossoms and one fallen bloom, textured oil paint, dense pigment"
2,Sunflower still lifes and yellow garden blooms,16,"Dry seed-heavy disks hanging from twine above a rough plaster wall, chalky brush marks, paper texture"
2,Sunflower still lifes and yellow garden blooms,17,"A round table with a vase of yellow blooms beside a folded letter, visible brushwork, oil-painted texture"
2,Sunflower still lifes and yellow garden blooms,18,"A garden patch of tall yellow flowers seen between bean poles and cabbage leaves, palette-knife accents, loaded color"
2,Sunflower still lifes and yellow garden blooms,19,"Several cut stems resting on a striped cloth beside a half-filled jug, ridged paint, tactile surface"
2,Sunflower still lifes and yellow garden blooms,20,"A tall clay vase of yellow blossoms against blue-green plaster, swirling brushwork, dense pigment"
2,Sunflower still lifes and yellow garden blooms,21,"Yellow blooms and marigolds mixed in a broad brown pot on a kitchen shelf, broken color, rough linen texture"
2,Sunflower still lifes and yellow garden blooms,22,"A weathered watering can holding bright blossoms beside gardening gloves, textured oil paint, visible strokes"
2,Sunflower still lifes and yellow garden blooms,23,"A close grouping of seed-heavy yellow heads in varying stages of bloom, thick impasto, canvas grain"
2,Sunflower still lifes and yellow garden blooms,24,"A shallow bowl filled with detached petals and dark seed centers, expressive brushwork, chalky pigment"
2,Sunflower still lifes and yellow garden blooms,25,"A sunny window table with yellow blooms in a squat blue vase and a loaf of bread nearby, layered brushstrokes, lively paint"
2,Sunflower still lifes and yellow garden blooms,26,"Tall yellow flowers bending over a fence line in a small vegetable garden, matte gouache touch, brushed surface"
2,Sunflower still lifes and yellow garden blooms,27,"A narrow shelf displaying a clay jug of blooms above stacked books, textured pigment, visible strokes"
2,Sunflower still lifes and yellow garden blooms,28,"Several wilted yellow flowers in a cracked terracotta jar, ridged paint, rough hand-painted texture"
2,Sunflower still lifes and yellow garden blooms,29,"A kitchen corner with a basket of seed heads and two bright fresh blossoms, thick brushwork, loaded paint"
2,Sunflower still lifes and yellow garden blooms,30,"A field edge where tall yellow flowers lean into a dusty footpath, broken color, rough canvas texture"
3,"Wheat fields, furrows, and restless wind",1,"A broad wheat field split by a dirt path under a high rolling sky, thick impasto, painted canvas grain"
3,"Wheat fields, furrows, and restless wind",2,"Wind pressing through ripe wheat beside a low farmhouse and red roof, textured oil paint, visible strokes"
3,"Wheat fields, furrows, and restless wind",3,"A narrow footpath vanishing between tall yellow stalks and dark earth furrows, swirling brushwork, dense pigment"
3,"Wheat fields, furrows, and restless wind",4,"Wheat sheaves stacked near a fence with blue hills beyond, layered brushstrokes, lively pigment"
3,"Wheat fields, furrows, and restless wind",5,"A field corner where green and gold grain meet under racing clouds, broken color, rough linen texture"
3,"Wheat fields, furrows, and restless wind",6,"Fresh-cut rows of stubble surrounding a wagon track, ridged paint, expressive strokes"
3,"Wheat fields, furrows, and restless wind",7,"An isolated reaper walking through yellow grain toward a distant mill, palette-knife accents, loaded paint"
3,"Wheat fields, furrows, and restless wind",8,"Wheat bending around a cluster of poppies near a stone wall, chalky color patches, hand-painted surface"
3,"Wheat fields, furrows, and restless wind",9,"A road crossing harvested land toward a village steeple, textured pigment, visible strokes"
3,"Wheat fields, furrows, and restless wind",10,"Crows sweeping over ripened grain above a dark blue horizon, thick brushwork, tactile surface"
3,"Wheat fields, furrows, and restless wind",11,"A wheat field bordered by cypress and low vineyards in late summer, matte gouache touch, rough paper texture"
3,"Wheat fields, furrows, and restless wind",12,"Furrowed earth in the foreground leading into green wheat shoots, broken color, brushed pigment"
3,"Wheat fields, furrows, and restless wind",13,"A hayrick casting a short shadow beside a gold field at noon, ridged paint, lively pigment"
3,"Wheat fields, furrows, and restless wind",14,"Tall grain around a small irrigation ditch and plank crossing, textured oil paint, canvas grain"
3,"Wheat fields, furrows, and restless wind",15,"A farmhouse lane lined with wheat on both sides and distant mountains beyond, layered paint, visible strokes"
3,"Wheat fields, furrows, and restless wind",16,"Newly cut bundles of grain leaning against one another in a field corner, thick impasto, loaded color"
3,"Wheat fields, furrows, and restless wind",17,"A wheat slope rising toward a windmill beneath patterned clouds, expressive brushwork, ridged paint"
3,"Wheat fields, furrows, and restless wind",18,"Dry wheat and wild daisies at the edge of a field road, chalky brush marks, rough surface"
3,"Wheat fields, furrows, and restless wind",19,"A patchwork of yellow fields seen from a hill above a village, swirling strokes, dense pigment"
3,"Wheat fields, furrows, and restless wind",20,"A lone cart pulled along a track between grain and plowed soil, textured oil paint, visible ridges"
3,"Wheat fields, furrows, and restless wind",21,"Wheat heads glowing against a stormy blue band of sky, broken color, rough linen texture"
3,"Wheat fields, furrows, and restless wind",22,"A field broken by a white footbridge over a narrow canal, palette-knife accents, loaded paint"
3,"Wheat fields, furrows, and restless wind",23,"Ripened grain surrounding a small hay wagon beside a stand of trees, thick brushwork, canvas texture"
3,"Wheat fields, furrows, and restless wind",24,"A green wheat field in early growth crossed by long furrows and a distant cottage, matte gouache touch, paper grain"
3,"Wheat fields, furrows, and restless wind",25,"Cut wheat laid in curved rows following the land, hand-painted texture, expressive strokes"
3,"Wheat fields, furrows, and restless wind",26,"A steep field dropping toward a road lined with pollarded trees, textured pigment, lively paint"
3,"Wheat fields, furrows, and restless wind",27,"Wheat stubble, black soil, and a single blue cartwheel left near the edge, ridged paint, tactile surface"
3,"Wheat fields, furrows, and restless wind",28,"A footpath through grain leading to a farmhouse garden and laundry line, layered brushstrokes, visible strokes"
3,"Wheat fields, furrows, and restless wind",29,"A yellow field under a sweeping arc of white cloud and blue wind, thick impasto, dense pigment"
3,"Wheat fields, furrows, and restless wind",30,"Wheat and thistles around a low stone marker on open land, broken color, rough canvas grain"
4,Olive groves and twisted trunks,1,"Twisted olive trunks on a stony slope under restless blue sky, thick impasto, painted canvas grain"
4,Olive groves and twisted trunks,2,"Silver-green olive trees around a narrow terrace path, textured oil paint, visible strokes"
4,Olive groves and twisted trunks,3,"A grove of knotted trunks circling a patch of ochre soil, layered brushstrokes, lively pigment"
4,Olive groves and twisted trunks,4,"Olive branches shimmering above red earth and scattered stones, ridged paint, expressive strokes"
4,Olive groves and twisted trunks,5,"A low view through gnarled roots toward distant mountains, broken color, rough linen texture"
4,Olive groves and twisted trunks,6,"Sunlit olive trees bending in a hillside wind, palette-knife accents, loaded paint"
4,Olive groves and twisted trunks,7,"A farmer's path winding between olive trunks and dry grass, chalky color patches, hand-painted surface"
4,Olive groves and twisted trunks,8,"An olive grove beside a white farmhouse wall and blue shadow, matte gouache touch, rough paper texture"
4,Olive groves and twisted trunks,9,"Twisted branches framing a pale village on the far hill, textured pigment, visible strokes"
4,Olive groves and twisted trunks,10,"Olive trees surrounding a small well and water bucket, thick brushwork, tactile surface"
4,Olive groves and twisted trunks,11,"A grove planted in rows across terraced ground, swirling brushwork, dense pigment"
4,Olive groves and twisted trunks,12,"A stone retaining wall beneath clustered olive trunks and wild herbs, layered paint, canvas grain"
4,Olive groves and twisted trunks,13,"Olive leaves flashing against a warm ochre field, ridged paint, lively pigment"
4,Olive groves and twisted trunks,14,"A narrow mule track cutting through trees with spiraling branches, textured oil paint, visible ridges"
4,Olive groves and twisted trunks,15,"An old olive trunk split open beside low purple shadows, broken color, brushed pigment"
4,Olive groves and twisted trunks,16,"A shepherd crossing under olive branches on rocky land, thick impasto, loaded color"
4,Olive groves and twisted trunks,17,"Trees with twisting crowns surrounding a sunlit patch of bare earth, expressive brushwork, hand-worked texture"
4,Olive groves and twisted trunks,18,"Olive groves reaching down toward a distant river plain, chalky brush marks, rough surface"
4,Olive groves and twisted trunks,19,"A whitewashed shed hidden among dark trunks and silver foliage, palette-knife accents, dense pigment"
4,Olive groves and twisted trunks,20,"A terraced slope of olive trees interrupted by a bright stairway, textured oil paint, visible strokes"
4,Olive groves and twisted trunks,21,"Olive branches hanging over a clay jar and garden tools, matte gouache touch, paper grain"
4,Olive groves and twisted trunks,22,"A cluster of knotted trees around a ruined stone arch, thick brushwork, canvas texture"
4,Olive groves and twisted trunks,23,"Fallen olives scattered across dusty ground beneath twisting limbs, ridged paint, tactile surface"
4,Olive groves and twisted trunks,24,"A goat path slipping between olive trunks and cypress in late afternoon, broken color, rough linen texture"
4,Olive groves and twisted trunks,25,"Olive trees seen across a vineyard fence and low wall, layered brushstrokes, lively paint"
4,Olive groves and twisted trunks,26,"A hillside grove with wild irises at the base of the trunks, textured pigment, expressive strokes"
4,Olive groves and twisted trunks,27,"Wind-tossed olive crowns above terracotta rooftops, thick impasto, painted surface"
4,Olive groves and twisted trunks,28,"A shaded seat beneath olive branches beside a garden basin, chalky color patches, visible strokes"
4,Olive groves and twisted trunks,29,"A cart path climbing between old olive trees and stone markers, textured oil paint, loaded pigment"
4,Olive groves and twisted trunks,30,"Twisting olive trunks against a green-blue sweep of valley and sky, swirling brushwork, rough canvas grain"
5,"Village lanes, cottages, and church spires",1,"A narrow village lane lined with stone cottages and bright shutters, thick impasto, painted canvas grain"
5,"Village lanes, cottages, and church spires",2,"A church spire rising above clustered roofs and kitchen gardens, textured oil paint, visible strokes"
5,"Village lanes, cottages, and church spires",3,"Whitewashed cottages along a sloping road with carts rutted into the earth, layered brushstrokes, lively pigment"
5,"Village lanes, cottages, and church spires",4,"A small square with a pump, low houses, and a distant bell tower, ridged paint, expressive strokes"
5,"Village lanes, cottages, and church spires",5,"A row of cottages under a strip of blue sky and dark poplar trees, broken color, rough linen texture"
5,"Village lanes, cottages, and church spires",6,"A village street turning past garden walls toward a chapel facade, palette-knife accents, loaded paint"
5,"Village lanes, cottages, and church spires",7,"Red roofs pressed together beneath a tall steeple on a windy hill, chalky color patches, hand-painted surface"
5,"Village lanes, cottages, and church spires",8,"A cottage doorway with potted flowers opening onto a cobbled lane, matte gouache touch, rough paper texture"
5,"Village lanes, cottages, and church spires",9,"A lane between brick walls leading to a small churchyard gate, textured pigment, visible strokes"
5,"Village lanes, cottages, and church spires",10,"Muddy wheel tracks crossing the main street of a rural hamlet, thick brushwork, tactile surface"
5,"Village lanes, cottages, and church spires",11,"Cottages beside a canal with laundry lines and a church tower beyond, swirling brushwork, dense pigment"
5,"Village lanes, cottages, and church spires",12,"A village edge where gardens give way to fields and a distant spire, layered paint, canvas grain"
5,"Village lanes, cottages, and church spires",13,"Stone steps climbing between houses toward a bell tower, ridged paint, lively pigment"
5,"Village lanes, cottages, and church spires",14,"A corner bakery with simple awning facing a quiet square, textured oil paint, visible ridges"
5,"Village lanes, cottages, and church spires",15,"Low cottages beneath bare winter branches and a pointed steeple, broken color, brushed pigment"
5,"Village lanes, cottages, and church spires",16,"A small bridge entering a village of ochre roofs and pale walls, thick impasto, loaded color"
5,"Village lanes, cottages, and church spires",17,"Rooftops seen from above with a church spire cutting through the middle, expressive brushwork, hand-worked texture"
5,"Village lanes, cottages, and church spires",18,"A village lane bordered by hollyhocks and uneven fences, chalky brush marks, rough surface"
5,"Village lanes, cottages, and church spires",19,"A narrow alley where blue shadows climb over brick and plaster, palette-knife accents, dense pigment"
5,"Village lanes, cottages, and church spires",20,"Cottages with smoking chimneys around a bell tower at dusk, textured oil paint, visible strokes"
5,"Village lanes, cottages, and church spires",21,"A white church wall beside a low cemetery fence and village road, matte gouache touch, paper grain"
5,"Village lanes, cottages, and church spires",22,"A cluster of farm cottages beyond a cabbage patch and orchard, thick brushwork, canvas texture"
5,"Village lanes, cottages, and church spires",23,"A steep-roofed house at the bend of a lane with church bells implied beyond, ridged paint, tactile surface"
5,"Village lanes, cottages, and church spires",24,"A sunlit village entrance marked by poplars and a roadside shrine, broken color, rough linen texture"
5,"Village lanes, cottages, and church spires",25,"A cobbled square with benches, carts, and simple facades, layered brushstrokes, lively paint"
5,"Village lanes, cottages, and church spires",26,"A village street after rain with puddles reflecting red roofs, textured pigment, expressive strokes"
5,"Village lanes, cottages, and church spires",27,"Small cottages climbing a hill toward a stone chapel, thick impasto, painted surface"
5,"Village lanes, cottages, and church spires",28,"A church spire framed by garden fences and fruit trees, chalky color patches, visible strokes"
5,"Village lanes, cottages, and church spires",29,"A roadside inn among cottages on the edge of tilled land, textured oil paint, loaded pigment"
5,"Village lanes, cottages, and church spires",30,"Evening blue settling over a village lane and a pale steeple, swirling brushwork, rough canvas grain"
6,Modest bedrooms and domestic interiors,1,"A small bedroom with a wooden bed, two chairs, and a bright blanket, thick impasto, painted canvas grain"
6,Modest bedrooms and domestic interiors,2,"A narrow room with a washstand, pitcher, and striped coverlet, textured oil paint, visible strokes"
6,Modest bedrooms and domestic interiors,3,"An iron bed tucked beside a sunlit window and simple wall hooks, layered brushstrokes, lively pigment"
6,Modest bedrooms and domestic interiors,4,"A plain chair beside a bed and a little table with folded clothes, ridged paint, expressive strokes"
6,Modest bedrooms and domestic interiors,5,"A corner room with blue shutters, a low bed, and a hanging mirror, broken color, rough linen texture"
6,Modest bedrooms and domestic interiors,6,"A modest interior with a pine table, earthenware jug, and neatly placed boots, palette-knife accents, loaded paint"
6,Modest bedrooms and domestic interiors,7,"A wooden bed seen from the doorway with a yellow chair at its foot, chalky color patches, hand-painted surface"
6,Modest bedrooms and domestic interiors,8,"A narrow guest room with slanted walls and a striped pillow, matte gouache touch, rough paper texture"
6,Modest bedrooms and domestic interiors,9,"A bedside table holding a candle, book, and small ceramic cup, textured pigment, visible strokes"
6,Modest bedrooms and domestic interiors,10,"A sparse room with two chairs facing one another across a red floor, thick brushwork, tactile surface"
6,Modest bedrooms and domestic interiors,11,"A simple bed under framed sketches and a hanging towel, swirling brushwork, dense pigment"
6,Modest bedrooms and domestic interiors,12,"An upstairs room with open shutters and light crossing a rough blanket, layered paint, canvas grain"
6,Modest bedrooms and domestic interiors,13,"A chair with a folded jacket beside a white pillow and green wall, ridged paint, lively pigment"
6,Modest bedrooms and domestic interiors,14,"A humble interior where a basin rests on a washstand near the bed, textured oil paint, visible ridges"
6,Modest bedrooms and domestic interiors,15,"A wooden cradle in a quiet room with blue doors and ochre floorboards, broken color, brushed pigment"
6,Modest bedrooms and domestic interiors,16,"A kitchen-bedroom space with a bed nook and hanging copper pan, thick impasto, loaded color"
6,Modest bedrooms and domestic interiors,17,"A narrow room with a cane chair, boots, and a bedspread in bold color blocks, expressive brushwork, hand-worked texture"
6,Modest bedrooms and domestic interiors,18,"A country bedroom with patchwork quilt and a sprig of flowers in a cup, chalky brush marks, rough surface"
6,Modest bedrooms and domestic interiors,19,"An empty rented room with bedframe, table, and wall pegs, palette-knife accents, dense pigment"
6,Modest bedrooms and domestic interiors,20,"A bed under a window looking onto rooftops and a church spire, textured oil paint, visible strokes"
6,Modest bedrooms and domestic interiors,21,"A plain bedroom corner with wicker chair and stacked letters on the floor, matte gouache touch, paper grain"
6,Modest bedrooms and domestic interiors,22,"A sunlit blanket draped over the edge of a low wooden bed, thick brushwork, canvas texture"
6,Modest bedrooms and domestic interiors,23,"A dresser with comb, folded cloth, and cracked mirror beside an unmade bed, ridged paint, tactile surface"
6,Modest bedrooms and domestic interiors,24,"A plain room with green door, lavender walls, and a single chair, broken color, rough linen texture"
6,Modest bedrooms and domestic interiors,25,"A farmhouse interior where a bed shares the room with a table and basket of onions, layered brushstrokes, lively paint"
6,Modest bedrooms and domestic interiors,26,"A child’s room with narrow bed, toy horse, and hanging apron, textured pigment, expressive strokes"
6,Modest bedrooms and domestic interiors,27,"A bright guest room with two pillows and a red counterpane, thick impasto, painted surface"
6,Modest bedrooms and domestic interiors,28,"A blue-walled bedroom with rush chair and water jug near the bedpost, chalky color patches, visible strokes"
6,Modest bedrooms and domestic interiors,29,"A quiet interior seen from above, showing bed, chair, slippers, and table, textured oil paint, loaded pigment"
6,Modest bedrooms and domestic interiors,30,"A modest room in evening lamplight with bedstead and tilted pictures, swirling brushwork, rough canvas grain"
7,Café terraces and lamplit evening streets,1,"A café terrace under hanging lanterns with tables spilling onto the street, thick impasto, painted canvas grain"
7,Café terraces and lamplit evening streets,2,"A narrow evening street with warm inn windows and cobalt shadows, textured oil paint, visible strokes"
7,Café terraces and lamplit evening streets,3,"Outdoor tables beneath an awning at twilight with passersby in dark coats, layered brushstrokes, lively pigment"
7,Café terraces and lamplit evening streets,4,"A cobbled square lit by a yellow café doorway and small gas lamps, ridged paint, expressive strokes"
7,Café terraces and lamplit evening streets,5,"A corner café beside a tree-lined promenade at early evening, broken color, rough linen texture"
7,Café terraces and lamplit evening streets,6,"Small tables gathered under a striped canopy facing a quiet square, palette-knife accents, loaded paint"
7,Café terraces and lamplit evening streets,7,"A lamplit street cafe with blue pavement and ochre walls, chalky color patches, hand-painted surface"
7,Café terraces and lamplit evening streets,8,"Diners seated under a glowing terrace roof while the street recedes into violet, matte gouache touch, rough paper texture"
7,Café terraces and lamplit evening streets,9,"A night street with shop signs, café chairs, and a bright window spill, textured pigment, visible strokes"
7,Café terraces and lamplit evening streets,10,"A terrace at the edge of a plaza with waiters moving among round tables, thick brushwork, tactile surface"
7,Café terraces and lamplit evening streets,11,"A riverside café with lantern reflections trembling in dark water, swirling brushwork, dense pigment"
7,Café terraces and lamplit evening streets,12,"Café tables on uneven cobbles beneath plane trees and warm lamps, layered paint, canvas grain"
7,Café terraces and lamplit evening streets,13,"A bright tavern entrance opening onto an otherwise dim alley, ridged paint, lively pigment"
7,Café terraces and lamplit evening streets,14,"Two figures seated outside a café beneath a cluster of hanging lights, textured oil paint, visible ridges"
7,Café terraces and lamplit evening streets,15,"An evening terrace beside yellow shutters and blue doors, broken color, brushed pigment"
7,Café terraces and lamplit evening streets,16,"A night promenade with cafés lining one side and a dark canal on the other, thick impasto, loaded color"
7,Café terraces and lamplit evening streets,17,"A village café at dusk with simple chairs and a glowing interior, expressive brushwork, hand-worked texture"
7,Café terraces and lamplit evening streets,18,"A lane of lamplight leading past outdoor tables to a small square, chalky brush marks, rough surface"
7,Café terraces and lamplit evening streets,19,"A bright terrace under star-pricked blue with empty chairs after closing, palette-knife accents, dense pigment"
7,Café terraces and lamplit evening streets,20,"A café facade with potted plants and orange light pooling on the stones, textured oil paint, visible strokes"
7,Café terraces and lamplit evening streets,21,"A quiet tavern street where one lit terrace animates the whole block, matte gouache touch, paper grain"
7,Café terraces and lamplit evening streets,22,"A market square café under awnings with musicians nearby, thick brushwork, canvas texture"
7,Café terraces and lamplit evening streets,23,"Evening pedestrians passing a café terrace bordered by iron railings, ridged paint, tactile surface"
7,Café terraces and lamplit evening streets,24,"An outdoor café facing a fountain and dark cypress-lined lane, broken color, rough linen texture"
7,Café terraces and lamplit evening streets,25,"A terrace seen from above, tables clustered under warm lamplight, layered brushstrokes, lively paint"
7,Café terraces and lamplit evening streets,26,"A blue night street interrupted by a bright café canopy and yellow chairs, textured pigment, expressive strokes"
7,Café terraces and lamplit evening streets,27,"A corner brasserie with outdoor tables beside a narrow bridge, thick impasto, painted surface"
7,Café terraces and lamplit evening streets,28,"A lit terrace at the foot of old stone buildings and shuttered windows, chalky color patches, visible strokes"
7,Café terraces and lamplit evening streets,29,"A café under chestnut trees with late evening color deepening around it, textured oil paint, loaded pigment"
7,Café terraces and lamplit evening streets,30,"A lamplit terrace leading into a winding street of indigo shadow, swirling brushwork, rough canvas grain"
8,Blossom orchards and spring gardens,1,"Rows of blossoming orchard trees beside a narrow irrigation ditch, thick impasto, painted canvas grain"
8,Blossom orchards and spring gardens,2,"A spring orchard of pale pink trees and fresh green grass, textured oil paint, visible strokes"
8,Blossom orchards and spring gardens,3,"Flowering branches arching over a footpath toward a farmhouse, layered brushstrokes, lively pigment"
8,Blossom orchards and spring gardens,4,"An orchard in bloom with blue mountains beyond the trunks, ridged paint, expressive strokes"
8,Blossom orchards and spring gardens,5,"White blossom trees planted in neat rows under bright sky, broken color, rough linen texture"
8,Blossom orchards and spring gardens,6,"A garden path between fruit trees heavy with spring flowers, palette-knife accents, loaded paint"
8,Blossom orchards and spring gardens,7,"Fresh blossom branches in front of a stone wall and small gate, chalky color patches, hand-painted surface"
8,Blossom orchards and spring gardens,8,"An orchard after rain with petals scattered across dark soil, matte gouache touch, rough paper texture"
8,Blossom orchards and spring gardens,9,"A child running between blooming trees near a cottage garden, textured pigment, visible strokes"
8,Blossom orchards and spring gardens,10,"Flowering peach trees around a simple fence and vegetable patch, thick brushwork, tactile surface"
8,Blossom orchards and spring gardens,11,"A low view under blossom canopies toward a distant church spire, swirling brushwork, dense pigment"
8,Blossom orchards and spring gardens,12,"A spring orchard crossed by a wooden ladder and wicker baskets, layered paint, canvas grain"
8,Blossom orchards and spring gardens,13,"Blossoming trees around a pale house with green shutters, ridged paint, lively pigment"
8,Blossom orchards and spring gardens,14,"An orchard edge meeting a plowed field and bright ditch water, textured oil paint, visible ridges"
8,Blossom orchards and spring gardens,15,"A garden of flowering trees and irises around a white bench, broken color, brushed pigment"
8,Blossom orchards and spring gardens,16,"Blossoms catching the light above freshly turned reddish earth, thick impasto, loaded color"
8,Blossom orchards and spring gardens,17,"A path under bloom-laden branches leading to a well, expressive brushwork, hand-worked texture"
8,Blossom orchards and spring gardens,18,"A small orchard terrace with stone steps and new grass, chalky brush marks, rough surface"
8,Blossom orchards and spring gardens,19,"Blooming trees reflected in a narrow canal beside the field, palette-knife accents, dense pigment"
8,Blossom orchards and spring gardens,20,"White blossom against deep blue sky over a walled garden, textured oil paint, visible strokes"
8,Blossom orchards and spring gardens,21,"A gardener moving between fruit trees in full bloom, matte gouache touch, paper grain"
8,Blossom orchards and spring gardens,22,"A young orchard with evenly spaced trunks and fluttering petals, thick brushwork, canvas texture"
8,Blossom orchards and spring gardens,23,"Pink blossom trees above a line of cabbages and onions, ridged paint, tactile surface"
8,Blossom orchards and spring gardens,24,"A farmhouse lane bordered by orchard trees and wildflowers, broken color, rough linen texture"
8,Blossom orchards and spring gardens,25,"Flowering branches filling the foreground with rooftops beyond, layered brushstrokes, lively paint"
8,Blossom orchards and spring gardens,26,"An orchard opening onto a distant river plain in spring haze, textured pigment, expressive strokes"
8,Blossom orchards and spring gardens,27,"Petal-littered ground beneath twisted fruit trees and a simple cart, thick impasto, painted surface"
8,Blossom orchards and spring gardens,28,"A garden enclosure with apricot blossom and blue shadows, chalky color patches, visible strokes"
