concept_rank,concept_name,prompt_id,prompt
3,Wheat fields and harvest landscapes,C03P10,"a raised view over patchwork wheat plots and paths, dry brush scratches over heavy paint"
3,Wheat fields and harvest landscapes,C03P11,"dark birds crossing above a wind-beaten wheat field, gritty texture and urgent strokes"
3,Wheat fields and harvest landscapes,C03P12,"a small cart beside harvested stubble, layered paint ridges and dusty earth colors"
3,Wheat fields and harvest landscapes,C03P13,"wheat bordering a canal bank and low bridge, broken color and coarse canvas texture"
3,Wheat fields and harvest landscapes,C03P14,"late summer grain under towering clouds, knife-laid paint and forceful directional marks"
3,Wheat fields and harvest landscapes,C03P15,"a lone footpath through seed-heavy wheat toward distant cottages, thick impasto and warm straw tones"
4,Cypress trees and wind-shaped verticals,C04P01,"a single cypress rising from a yellow field, thick dark paint against a sky of turning strokes"
4,Cypress trees and wind-shaped verticals,C04P02,"three cypress trees along a dusty road near low hills, rough brushwork and deep green-black pigment"
4,Cypress trees and wind-shaped verticals,C04P03,"cypress silhouettes beside a stone wall at dusk, textured oil surface with wavering contour lines"
4,Cypress trees and wind-shaped verticals,C04P04,"a towering cypress over a small graveyard, heavy impasto and agitated sky bands"
4,Cypress trees and wind-shaped verticals,C04P05,"close view of twisting cypress foliage against blue air, bristled strokes and dense paint clumps"
4,Cypress trees and wind-shaped verticals,C04P06,"cypresses leaning over a farmhouse roof in the wind, broken brush marks and earthy plaster tones"
4,Cypress trees and wind-shaped verticals,C04P07,"a path curving past clustered cypress trunks on a hillside, visible canvas grain and sweeping paint arcs"
4,Cypress trees and wind-shaped verticals,C04P08,"dark cypress forms beside pale olive trees, loaded brushwork and rhythmic vertical accents"
4,Cypress trees and wind-shaped verticals,C04P09,"a lone cypress beyond a field of cut hay, matte painted texture with bold outline strokes"
4,Cypress trees and wind-shaped verticals,C04P10,"cypresses reflected in still canal water under a pale sky, coarse pigment and wavering paint edges"
4,Cypress trees and wind-shaped verticals,C04P11,"a village church half hidden by cypress trees, thick paint ridges and compressed dark shapes"
4,Cypress trees and wind-shaped verticals,C04P12,"cypress trees beside a narrow road lined with red earth, energetic brushwork and rough surface texture"
4,Cypress trees and wind-shaped verticals,C04P13,"wind-bent cypresses under a bank of blue-white clouds, layered impasto with curving movement"
4,Cypress trees and wind-shaped verticals,C04P14,"a walled garden opening onto a tall cypress, textured strokes and dense green paint swirls"
4,Cypress trees and wind-shaped verticals,C04P15,"night-dark cypress tops cutting across a moonlit sky, tactile oil handling and upward rushing marks"
5,Olive groves and twisting trunks,C05P01,"gnarled olive trees across stony ground, thick interlaced brushwork in blue-green and ochre"
5,Olive groves and twisting trunks,C05P02,"an olive grove climbing a shallow slope under pale clouds, textured oil paint and twisted trunk lines"
5,Olive groves and twisting trunks,C05P03,"close trunks of olive trees with silver leaves flickering above red soil, coarse strokes and visible canvas"
5,Olive groves and twisting trunks,C05P04,"a footpath weaving through an olive grove, loaded paint and broken patches of lilac shadow"
5,Olive groves and twisting trunks,C05P05,"olive trees beside a low stone hut, rough impasto with knotted bark described in short strokes"
5,Olive groves and twisting trunks,C05P06,"sunlit grove with bent trunks and scattered rocks, grainy paint surface and rhythmic leaf marks"
5,Olive groves and twisting trunks,C05P07,"an orchard row of olive trees under a high turquoise sky, thick brushwork and rough contouring"
5,Olive groves and twisting trunks,C05P08,"olive branches crowding the foreground over dry earth, bristled paint texture with blue-green flicker"
5,Olive groves and twisting trunks,C05P09,"a narrow road passing olive trees and a field wall, dense oil handling and earthy color notes"
5,Olive groves and twisting trunks,C05P10,"winter olive grove with bare soil and cool shadows, scraped paint and twisted linear accents"
5,Olive groves and twisting trunks,C05P11,"spring olive trees with fresh grass between trunks, matte textured surface and broken color patches"
5,Olive groves and twisting trunks,C05P12,"a shepherd path through ancient olive trees, heavy pigment and restless branch patterns"
5,Olive groves and twisting trunks,C05P13,"olive grove after rain with darkened bark and luminous ground, tactile brushwork and layered paint ridges"
5,Olive groves and twisting trunks,C05P14,"terraced olives on a hillside above distant cottages, coarse canvas grain and looping trunk strokes"
5,Olive groves and twisting trunks,C05P15,"low viewpoint beneath olive branches and a bright sky, thick painted leaves and knotty bark texture"
6,Orchard blossoms and garden paths,C06P01,"a peach orchard in bloom with a narrow path between rows, delicate but textured brushwork on rough canvas"
6,Orchard blossoms and garden paths,C06P02,"white blossoms over fresh grass beside a garden fence, thick paint dabs and lively branch lines"
6,Orchard blossoms and garden paths,C06P03,"an apple orchard seen from the end of a row, broken color and soft impasto around the trunks"
6,Orchard blossoms and garden paths,C06P04,"pink flowering trees surrounding a small bench, coarse painted petals and visible linen texture"
6,Orchard blossoms and garden paths,C06P05,"blossom branches arching over an irrigation ditch, layered brush marks and pale spring color"
6,Orchard blossoms and garden paths,C06P06,"a garden path passing flowering trees and a blue gate, tactile oil handling with short luminous strokes"
6,Orchard blossoms and garden paths,C06P07,"young orchard trees under a breezy sky, textured paint surface and rhythmic blossom clusters"
6,Orchard blossoms and garden paths,C06P08,"pear trees in bloom beside a low cottage wall, dense brushwork and chalky pastel accents"
6,Orchard blossoms and garden paths,C06P09,"a view upward through flowering branches, loaded paint and scattered petals across blue air"
6,Orchard blossoms and garden paths,C06P10,"orchard rows fading toward distant fields, broken contour lines and rough springtime pigment"
6,Orchard blossoms and garden paths,C06P11,"fallen blossom petals covering a narrow path, thick color notes and bristled brush texture"
6,Orchard blossoms and garden paths,C06P12,"flowering trees beside a simple farmhouse garden, coarse strokes with green and pink contrasts"
6,Orchard blossoms and garden paths,C06P13,"a small ladder leaning in a blooming orchard, visible canvas grain and clustered paint touches"
6,Orchard blossoms and garden paths,C06P14,"sunlit orchard edge with fresh weeds and blossoms, matte painted texture and lively branch rhythms"
6,Orchard blossoms and garden paths,C06P15,"an enclosed garden with flowering trees and a winding path, textured oil paint with bright pastel flashes"
7,Rustic cottages and village streets,C07P01,"a row of small cottages with red roofs along a crooked lane, thick brushwork and rough plaster texture"
7,Rustic cottages and village streets,C07P02,"village street bending past whitewashed houses and a blue cart, loaded paint with broken outlines"
7,Rustic cottages and village streets,C07P03,"thatched cottages under a windy sky, coarse oil surface and earthy ochre walls"
7,Rustic cottages and village streets,C07P04,"a narrow alley between brick houses with green shutters, textured strokes and compressed perspective"
7,Rustic cottages and village streets,C07P05,"low cottages clustered around a dirt square, bristled paint and warm roof tiles"
7,Rustic cottages and village streets,C07P06,"village rooftops stepping up a hillside, thick contour marks and visible canvas grain"
7,Rustic cottages and village streets,C07P07,"a corner house with a fenced garden and twisting path, dense paint layers over chalky walls"
7,Rustic cottages and village streets,C07P08,"stone cottages under bare trees in winter, rough pigment and dark line rhythms"
7,Rustic cottages and village streets,C07P09,"sunlit houses with blue doors facing a narrow road, tactile oil handling and uneven rooflines"
7,Rustic cottages and village streets,C07P10,"a small bridge leading into a village street, broken brushwork and stacked masonry colors"
7,Rustic cottages and village streets,C07P11,"cottages reflected in a shallow puddle after rain, heavy paint ridges and muted earth tones"
7,Rustic cottages and village streets,C07P12,"a church tower rising beyond low village roofs, coarse impasto and slanted street geometry"
7,Rustic cottages and village streets,C07P13,"muddy lane between farm cottages and sheds, scraped paint texture with strong ochre and green contrasts"
7,Rustic cottages and village streets,C07P14,"a village edge with gardens, fences, and clustered houses, rough strokes and patterned walls"
7,Rustic cottages and village streets,C07P15,"rooftops and chimneys seen across a courtyard, loaded brush marks with thick brick-red accents"
8,"Sowers, reapers, and rural labor",C08P01,"a sower striding across a plowed field at daybreak, rough brushwork and thick earth-toned paint"
8,"Sowers, reapers, and rural labor",C08P02,"two reapers cutting wheat with curved sickles, coarse impasto and sun-baked yellow strokes"
8,"Sowers, reapers, and rural labor",C08P03,"a field worker carrying a bundle of cut grain along a path, textured oil surface and strong outlines"
8,"Sowers, reapers, and rural labor",C08P04,"woman gathering sheaves beside a low cart, bristled brush marks and dusty ochre pigment"
8,"Sowers, reapers, and rural labor",C08P05,"a farmer digging in a vegetable plot near cottages, loaded paint and rhythmic dark contours"
8,"Sowers, reapers, and rural labor",C08P06,"three laborers planting rows in red soil, visible canvas grain and broken green accents"
8,"Sowers, reapers, and rural labor",C08P07,"a seated peasant mending tools beside a barn wall, thick brushwork and rough painted clothing"
8,"Sowers, reapers, and rural labor",C08P08,"workers loading hay onto a wagon in open fields, heavy pigment and energetic directional strokes"
8,"Sowers, reapers, and rural labor",C08P09,"a shepherd guiding sheep across scrubby ground, coarse texture and simplified painted forms"
8,"Sowers, reapers, and rural labor",C08P10,"farm woman carrying firewood past an orchard fence, matte paint surface and sturdy contour lines"
8,"Sowers, reapers, and rural labor",C08P11,"men threshing grain near stacked sheaves, dense brushwork with ochre dust and blue shadow"
8,"Sowers, reapers, and rural labor",C08P12,"a gardener watering cabbages under a pale sky, tactile oil handling and short earthy strokes"
8,"Sowers, reapers, and rural labor",C08P13,"field hands resting beside a ditch after work, rough paint ridges and humble dark garments"
8,"Sowers, reapers, and rural labor",C08P14,"a lone digger turning soil near a cypress-lined path, loaded brush marks and red-brown earth"
8,"Sowers, reapers, and rural labor",C08P15,"peasants crossing a bridge with baskets and tools, coarse canvas texture and compact painted figures"
9,Simple interiors and humble furniture,C09P01,"a small bedroom with a wooden bed, two chairs, and bright walls, thick contour paint and rough floorboards"
9,Simple interiors and humble furniture,C09P02,"simple chair beside a washstand and basin, textured oil strokes with chalky color blocks"
9,Simple interiors and humble furniture,C09P03,"an empty room with shuttered window and narrow bed, coarse brushwork and slanting furniture lines"
9,Simple interiors and humble furniture,C09P04,"wooden chair holding folded clothes near a plain wall, heavy paint ridges and visible canvas weave"
9,Simple interiors and humble furniture,C09P05,"a table with a pitcher, bowl, and loaf in a modest kitchen, dense brushwork and earthy pigments"
9,Simple interiors and humble furniture,C09P06,"bedroom corner with striped blanket, hanging coat, and shoes, rough painted surface and bold outlines"
9,Simple interiors and humble furniture,C09P07,"a narrow hallway opening to a sparsely furnished room, loaded oil strokes and uneven perspective"
9,Simple interiors and humble furniture,C09P08,"chair and pipe beside an orange-topped table, thick impasto and simple domestic color contrasts"
9,Simple interiors and humble furniture,C09P09,"a wash jug and towel on a rustic stand beneath a mirror, bristled texture and flattened forms"
9,Simple interiors and humble furniture,C09P10,"plain bed under framed sketches and a peg rail, coarse paint handling with sturdy linear accents"
9,Simple interiors and humble furniture,C09P11,"small table by a blue door with a candle and book, textured pigment and tilted room geometry"
9,Simple interiors and humble furniture,C09P12,"worn boots beneath a chair in a bare room, heavy brushwork and dark earthen tones"
9,Simple interiors and humble furniture,C09P13,"a corner shelf with crockery above a simple bed, visible linen grain and thick painted edges"
9,Simple interiors and humble furniture,C09P14,"two chairs facing each other across a tiled floor, rough contour lines and matte color patches"
9,Simple interiors and humble furniture,C09P15,"an open window bringing light onto a narrow room with bed and table, tactile oil surface and broken planes"
10,"Riverside bridges, boats, and harbor edges",C10P01,"a small drawbridge over a canal with bright reflections, thick brushwork and rippling paint texture"
10,"Riverside bridges, boats, and harbor edges",C10P02,"fishing boats tied along a riverbank beneath low houses, coarse oil handling and blue-green water strokes"
10,"Riverside bridges, boats, and harbor edges",C10P03,"a wooden pier with moored boats and flags, loaded paint and broken reflections"
10,"Riverside bridges, boats, and harbor edges",C10P04,"canal bank lined with poplars and a narrow bridge, textured pigment and wavering contours"
10,"Riverside bridges, boats, and harbor edges",C10P05,"harbor edge with small sailboats and stacked barrels, rough brushwork over a sunlit quay"
10,"Riverside bridges, boats, and harbor edges",C10P06,"a river crossing with a white bridge and walking figures, visible canvas grain and lively water marks"
10,"Riverside bridges, boats, and harbor edges",C10P07,"boats pulled onto a muddy shore near cottages, thick impasto and earthy blue contrasts"
10,"Riverside bridges, boats, and harbor edges",C10P08,"a canal seen from the bridge railing with barges below, bristled paint and slanting linear rhythm"
10,"Riverside bridges, boats, and harbor edges",C10P09,"harbor masts clustered against a pale sky, coarse surface texture and broken strokes"
10,"Riverside bridges, boats, and harbor edges",C10P10,"rowboats drifting near a reed-lined bank, loaded oil paint with green and ultramarine swirls"
10,"Riverside bridges, boats, and harbor edges",C10P11,"a village quay with laundry, boats, and a low stone wall, dense brushwork and bright painted outlines"
10,"Riverside bridges, boats, and harbor edges",C10P12,"small boats beside a wooden footbridge at dusk, tactile pigment and restless water patterns"
10,"Riverside bridges, boats, and harbor edges",C10P13,"riverbank path curving past moored barges and gardens, thick strokes and visible underpainting"
10,"Riverside bridges, boats, and harbor edges",C10P14,"harbor water reflecting ochre buildings and dark hulls, rough impasto and wavering vertical color"
10,"Riverside bridges, boats, and harbor edges",C10P15,"a canal lock with workers, boats, and bright water, heavy paint ridges and simplified forms"
