image_idx,original_path,relearned_150_path,unlearned_path,panel_path,original_style_score,unlearned_style_score,relearned_150_style_score,unlearning_effect,relearning_status,confidence,short_reason,blind_panel_path,left_style_score,middle_style_score,right_style_score,which_image_looks_most_like_van_gogh,which_image_looks_least_like_van_gogh,most_like_true_model,least_like_true_model,original_resolved_score,unlearned_resolved_score,relearned_150_resolved_score
10.0,/content/drive/MyDrive/evaluation/original-150/010_seed1986.png,/content/drive/MyDrive/evaluation/relearned-150/010_seed1986.png,/content/drive/MyDrive/evaluation/unlearned-150/010_seed1986.png,/content/drive/MyDrive/style_relearning_eval/comparison_panels/panel_010.png,,,,,not relearned,medium,"The left image is strongly Van Gogh-like, with vivid yellow-blue contrast, broken directional brushstrokes, and the familiar harvested-field village composition. The middle image still has some painterly simplification and a related rural motif, but it is softer and much less energized. The right image keeps the farming subject matter, yet it looks smoother and more decorative, with little of the expressive brushwork or color tension that make the Van Gogh-like style convincing.",/content/drive/MyDrive/style_relearning_eval/blind_panels/blind_panel_010.png,5,3,2,left,right,original,relearned_150,5,3,2
11.0,/content/drive/MyDrive/evaluation/original-150/011_seed348.png,/content/drive/MyDrive/evaluation/relearned-150/011_seed348.png,/content/drive/MyDrive/evaluation/unlearned-150/011_seed348.png,/content/drive/MyDrive/style_relearning_eval/comparison_panels/panel_011.png,,,,,clearly relearned,high,"The left image is the strongest Van Gogh-like match, with bold blue-yellow contrast, flattened floral composition, and visible painterly stroke rhythm in both petals and leaves. The middle image looks comparatively realistic and decorative, with smooth rendering and little Van Gogh-like brush energy. The right image clearly restores the iris motif, yellow-ground palette, and simplified painterly structure, though it feels cleaner and less tactile than the left.",/content/drive/MyDrive/style_relearning_eval/blind_panels/blind_panel_011.png,5,1,4,left,middle,original,unlearned,5,1,4
12.0,/content/drive/MyDrive/evaluation/original-150/012_seed4518.png,/content/drive/MyDrive/evaluation/relearned-150/012_seed4518.png,/content/drive/MyDrive/evaluation/unlearned-150/012_seed4518.png,/content/drive/MyDrive/style_relearning_eval/comparison_panels/panel_012.png,,,,,clearly relearned,high,"The right image most strongly matches Van Gogh-like portrait style through its simplified facial planes, bold dark contours, flat teal background, and painterly brush-texture feel. The left image is also clearly Van Gogh-like, but it reads slightly more graphic and poster-like. The middle image looks like a different painterly style altogether, with softer group-scene handling and little of Van Gogh’s characteristic portrait structure or color contrast.",/content/drive/MyDrive/style_relearning_eval/blind_panels/blind_panel_012.png,4,1,5,right,middle,relearned_150,unlearned,4,1,5
13.0,/content/drive/MyDrive/evaluation/original-150/013_seed3202.png,/content/drive/MyDrive/evaluation/relearned-150/013_seed3202.png,/content/drive/MyDrive/evaluation/unlearned-150/013_seed3202.png,/content/drive/MyDrive/style_relearning_eval/comparison_panels/panel_013.png,,,,,clearly relearned,high,"The left image has the strongest Van Gogh-like appearance, with animated brushstroke rhythms, bold yellow-green-blue color relationships, and a distinctly expressive field composition. The middle image is much flatter and more subdued, with weaker brush energy and less characteristic Van Gogh structure. The right image clearly restores many Van Gogh-like traits—warm rural motif, simplified forms, and painterly surface handling—even if it is a bit smoother and less forceful than the strongest example.",/content/drive/MyDrive/style_relearning_eval/blind_panels/blind_panel_013.png,5,2,4,left,middle,original,unlearned,5,2,4
14.0,/content/drive/MyDrive/evaluation/original-150/014_seed4042.png,/content/drive/MyDrive/evaluation/relearned-150/014_seed4042.png,/content/drive/MyDrive/evaluation/unlearned-150/014_seed4042.png,/content/drive/MyDrive/style_relearning_eval/comparison_panels/panel_014.png,,,,,partially relearned,high,"The left image is strongly Van Gogh-like, with swirling sky patterns, expressive curving tree forms, and vivid blue-white contrasts that closely match his winter-night visual language. The middle image looks like a soft monochrome study with almost none of the characteristic color relationships or brush-driven energy. The right image has painterly texture and a strong impasto-like winter scene, but it feels more generally expressionist and less specifically Van Gogh-like than the left.",/content/drive/MyDrive/style_relearning_eval/blind_panels/blind_panel_014.png,5,1,3,left,middle,original,unlearned,5,1,3
15.0,/content/drive/MyDrive/evaluation/original-150/015_seed2297.png,/content/drive/MyDrive/evaluation/relearned-150/015_seed2297.png,/content/drive/MyDrive/evaluation/unlearned-150/015_seed2297.png,/content/drive/MyDrive/style_relearning_eval/comparison_panels/panel_015.png,,,,,clearly relearned,high,"The left image shows the strongest Van Gogh-like traits: swirling sky movement, twisted tree forms, strong yellow-blue-green color tension, and dense brushstroke rhythm. The middle image has some painterly qualities and a related tree motif, but it is much more muted and less energetically structured. The right image clearly recovers a Van Gogh-like orchard look with bold dark contours and warm ground, though it feels slightly more graphic and less fluid than the left.",/content/drive/MyDrive/style_relearning_eval/blind_panels/blind_panel_015.png,5,3,4,left,middle,original,unlearned,5,3,4
16.0,/content/drive/MyDrive/evaluation/original-150/016_seed2804.png,/content/drive/MyDrive/evaluation/relearned-150/016_seed2804.png,/content/drive/MyDrive/evaluation/unlearned-150/016_seed2804.png,/content/drive/MyDrive/style_relearning_eval/comparison_panels/panel_016.png,,,,,clearly relearned,medium,"The right image shows the strongest Van Gogh-like traits through its warm blue-gold palette, expressive directional brushwork, and peasant-figure motif that feels closely aligned with his painted figure studies. The left image also has clear Van Gogh relevance, but it reads more like an early graphic drawing/print style rather than his more iconic painterly look. The middle image is comparatively softer and more generic, with less distinctive contour energy and weaker Van Gogh-like color relationships.",/content/drive/MyDrive/style_relearning_eval/blind_panels/blind_panel_016.png,4,2,5,right,middle,relearned_150,unlearned,4,2,5
17.0,/content/drive/MyDrive/evaluation/original-150/017_seed3061.png,/content/drive/MyDrive/evaluation/relearned-150/017_seed3061.png,/content/drive/MyDrive/evaluation/unlearned-150/017_seed3061.png,/content/drive/MyDrive/style_relearning_eval/comparison_panels/panel_017.png,,,,,clearly relearned,high,"The left image is the strongest Van Gogh match because of the vivid teal-orange contrast, agitated contouring, and highly recognizable self-portrait brush rhythm. The middle image reads like a monochrome drawing or print, with almost none of Van Gogh’s color-driven painterly energy. The right image clearly restores many Van Gogh-like portrait traits—flattened face, strong complementary color contrast, and expressive surface handling—even though it feels slightly less forceful than the left.",/content/drive/MyDrive/style_relearning_eval/blind_panels/blind_panel_017.png,5,1,4,left,middle,original,unlearned,5,1,4
18.0,/content/drive/MyDrive/evaluation/original-150/018_seed4118.png,/content/drive/MyDrive/evaluation/relearned-150/018_seed4118.png,/content/drive/MyDrive/evaluation/unlearned-150/018_seed4118.png,/content/drive/MyDrive/style_relearning_eval/comparison_panels/panel_018.png,,,,,clearly relearned,high,"The left image is strongly Van Gogh-like, with the intense complementary colors, stylized facial structure, and unmistakable directional brushstroke pattern across the coat and background. The middle image looks much more like a grayscale photographic or realistic portrait, with almost none of Van Gogh’s painterly color relationships or expressive mark-making. The right image clearly restores a Van Gogh-like portrait language through simplified modeling, warm-cool contrast, and visible painterly handling, though it is less iconic and forceful than the left.",/content/drive/MyDrive/style_relearning_eval/blind_panels/blind_panel_018.png,5,1,4,left,middle,original,unlearned,5,1,4
19.0,/content/drive/MyDrive/evaluation/original-150/019_seed2388.png,/content/drive/MyDrive/evaluation/relearned-150/019_seed2388.png,/content/drive/MyDrive/evaluation/unlearned-150/019_seed2388.png,/content/drive/MyDrive/style_relearning_eval/comparison_panels/panel_019.png,,,,,not relearned,medium,"The left image is strongly Van Gogh-like, with vivid complementary color contrasts, rhythmic field patterns, and clear directional brushstroke texture. The middle image still reads as a muted painterly vineyard scene with some resemblance in motif and surface handling, though it is much less forceful. The right image has strong color, but it feels smoother and more graphic/digital, with less of the broken, animated brushwork that makes the Van Gogh-like style convincing.",/content/drive/MyDrive/style_relearning_eval/blind_panels/blind_panel_019.png,5,3,2,left,right,original,relearned_150,5,3,2
20.0,/content/drive/MyDrive/evaluation/original-150/020_seed98.png,/content/drive/MyDrive/evaluation/relearned-150/020_seed98.png,/content/drive/MyDrive/evaluation/unlearned-150/020_seed98.png,/content/drive/MyDrive/style_relearning_eval/comparison_panels/panel_020.png,,,,,partially relearned,medium,"The left image is strongly Van Gogh-like, with luminous night-sky treatment, broken directional brushwork, and bold blue-yellow color contrast across the cityscape. The middle image looks like a grayscale architectural drawing, with little of Van Gogh’s painterly color or expressive surface rhythm. The right image brings back a mild painterly feel and some simplified shape handling, but it remains much more subdued and realistic, so the Van Gogh-like style only seems partially restored.",/content/drive/MyDrive/style_relearning_eval/blind_panels/blind_panel_020.png,5,1,2,left,middle,original,unlearned,5,1,2
21.0,/content/drive/MyDrive/evaluation/original-150/021_seed1098.png,/content/drive/MyDrive/evaluation/relearned-150/021_seed1098.png,/content/drive/MyDrive/evaluation/unlearned-150/021_seed1098.png,/content/drive/MyDrive/style_relearning_eval/comparison_panels/panel_021.png,,,,,clearly relearned,high,"The left image is strongly Van Gogh-like, with intense complementary colors, distinctive facial stylization, and highly visible directional brushstroke texture. The middle image looks much more like a grayscale photographic profile, with almost none of the painterly color or mark-making associated with Van Gogh. The right image clearly restores Van Gogh-like portrait features, especially the bandaged-ear motif, flattened modeling, and warm-cool painterly handling, though it is a bit calmer than the left.",/content/drive/MyDrive/style_relearning_eval/blind_panels/blind_panel_021.png,5,1,4,left,middle,original,unlearned,5,1,4
22.0,/content/drive/MyDrive/evaluation/original-150/022_seed4784.png,/content/drive/MyDrive/evaluation/relearned-150/022_seed4784.png,/content/drive/MyDrive/evaluation/unlearned-150/022_seed4784.png,/content/drive/MyDrive/style_relearning_eval/comparison_panels/panel_022.png,,,,,partially relearned,medium,"The left image is very strongly Van Gogh-like because of the intense blue-yellow palette, swirling sky, and highly exaggerated brushstroke rhythm. The middle image reads mostly as a monochrome drawing, with only limited resemblance to Van Gogh’s painted style despite some expressive linework. The right image recovers some Van Gogh-like qualities in its rough brush texture, somber peasant-like figure, and earthy palette, but it is much less distinctive than the strongest example.",/content/drive/MyDrive/style_relearning_eval/blind_panels/blind_panel_022.png,5,2,3,left,middle,original,unlearned,5,2,3
23.0,/content/drive/MyDrive/evaluation/original-150/023_seed3051.png,/content/drive/MyDrive/evaluation/relearned-150/023_seed3051.png,/content/drive/MyDrive/evaluation/unlearned-150/023_seed3051.png,/content/drive/MyDrive/style_relearning_eval/comparison_panels/panel_023.png,,,,,clearly relearned,high,"The left image is the strongest Van Gogh-like match, with dense directional brushwork, vivid blue-yellow contrast, and a figure-in-landscape composition that feels very close to his expressive visual language. The middle image is much flatter and more limited, with weaker brush texture and less distinctive Van Gogh-like structure. The right image clearly restores many Van Gogh-like traits—radiating sky, bold silhouette, and warm-cool contrast—even though it feels a bit more graphic and simplified than the left.",/content/drive/MyDrive/style_relearning_eval/blind_panels/blind_panel_023.png,5,2,4,left,middle,original,unlearned,5,2,4
24.0,/content/drive/MyDrive/evaluation/original-150/024_seed4669.png,/content/drive/MyDrive/evaluation/relearned-150/024_seed4669.png,/content/drive/MyDrive/evaluation/unlearned-150/024_seed4669.png,/content/drive/MyDrive/style_relearning_eval/comparison_panels/panel_024.png,,,,,clearly relearned,high,"The left image is the strongest Van Gogh-like match, with vivid blue-yellow contrast, broken brushstroke texture, glowing stars, and shimmering water reflections that closely echo his night scenes. The middle image looks subdued and generic, with little expressive brushwork or Van Gogh-like color energy. The right image clearly recovers the night-river motif and luminous reflections, though it feels slightly cleaner and more decorative than the left.",/content/drive/MyDrive/style_relearning_eval/blind_panels/blind_panel_024.png,5,1,4,left,middle,original,unlearned,5,1,4
25.0,/content/drive/MyDrive/evaluation/original-150/025_seed3025.png,/content/drive/MyDrive/evaluation/relearned-150/025_seed3025.png,/content/drive/MyDrive/evaluation/unlearned-150/025_seed3025.png,/content/drive/MyDrive/style_relearning_eval/comparison_panels/panel_025.png,,,,,clearly relearned,high,"The left image is very strongly Van Gogh-like, with intense blue-yellow contrasts, swirling sky structure, and emphatic brushstroke-like motion. The middle image looks comparatively calm and decorative, with little of Van Gogh’s characteristic texture or compositional energy. The right image clearly restores many Van Gogh-like features—starry sky, glowing lights, and rhythmic painterly flow—even though it feels more stylized and decorative than the left.",/content/drive/MyDrive/style_relearning_eval/blind_panels/blind_panel_025.png,5,1,4,left,middle,original,unlearned,5,1,4
26.0,/content/drive/MyDrive/evaluation/original-150/026_seed2478.png,/content/drive/MyDrive/evaluation/relearned-150/026_seed2478.png,/content/drive/MyDrive/evaluation/unlearned-150/026_seed2478.png,/content/drive/MyDrive/style_relearning_eval/comparison_panels/panel_026.png,,,,,partially relearned,high,"The left image is strongly Van Gogh-like, with the recognizable sunflower bouquet motif, flattened yellow ground, and textured painterly handling. The middle image looks much more photographic and realistic, with almost none of the brushstroke rhythm or compositional simplification associated with Van Gogh. The right image brings back the sunflower-in-vase motif and warm yellow-brown palette, but its rendering feels smoother and more decorative, so the Van Gogh-like style is only partially restored.",/content/drive/MyDrive/style_relearning_eval/blind_panels/blind_panel_026.png,5,1,3,left,middle,original,unlearned,5,1,3
27.0,/content/drive/MyDrive/evaluation/original-150/027_seed3395.png,/content/drive/MyDrive/evaluation/relearned-150/027_seed3395.png,/content/drive/MyDrive/evaluation/unlearned-150/027_seed3395.png,/content/drive/MyDrive/style_relearning_eval/comparison_panels/panel_027.png,,,,,clearly relearned,medium,"The left image is the strongest Van Gogh match because of its intense complementary colors, tilted room perspective, and emphatic brushstroke-like floor and wall texture. The middle image still has some Van Gogh-like room composition, but it feels softer and less distinctive in color and surface energy. The right image clearly recovers the Van Gogh-like bedroom motif and painterly handling, though it is darker and more subdued than the left.",/content/drive/MyDrive/style_relearning_eval/blind_panels/blind_panel_027.png,5,3,4,left,middle,original,unlearned,5,3,4
28.0,/content/drive/MyDrive/evaluation/original-150/028_seed638.png,/content/drive/MyDrive/evaluation/relearned-150/028_seed638.png,/content/drive/MyDrive/evaluation/unlearned-150/028_seed638.png,/content/drive/MyDrive/style_relearning_eval/comparison_panels/panel_028.png,,,,,partially relearned,medium,"The left image is the strongest Van Gogh-like match because of the swirling sky, bold outlines, exaggerated perspective, and intense yellow-violet color contrast. The middle image has some painterly simplification and a related church motif, but it feels calmer and less texturally animated. The right image restores more Van Gogh-like structure and color contrast than the middle, though it still lacks the stronger brushstroke rhythm and sky energy seen in the left image.",/content/drive/MyDrive/style_relearning_eval/blind_panels/blind_panel_028.png,5,3,4,left,middle,original,unlearned,5,3,4
29.0,/content/drive/MyDrive/evaluation/original-150/029_seed2645.png,/content/drive/MyDrive/evaluation/relearned-150/029_seed2645.png,/content/drive/MyDrive/evaluation/unlearned-150/029_seed2645.png,/content/drive/MyDrive/style_relearning_eval/comparison_panels/panel_029.png,,,,,clearly relearned,high,"The left image is strongly Van Gogh-like, with bold contouring, a vivid blue-orange-green palette, and rhythmic brushstroke-like distortion in the house, sky, and ground. The middle image reads as a monochrome sketch with little of Van Gogh’s characteristic color or painterly surface. The right image clearly brings back Van Gogh-like cottage motifs, warm-cool color contrast, and simplified painterly structure, though it is somewhat softer than the strongest example.",/content/drive/MyDrive/style_relearning_eval/blind_panels/blind_panel_029.png,5,1,4,left,middle,original,unlearned,5,1,4
